"frequency_ghz","channel","rms_phase_error_deg","max_abs_phase_error_deg","mean_phase_error_deg","amplitude_span_db","maximum_repeat_std_deg","minimum_tone_level_dbfs","clipped_sample_count","source_directory"
"2.3","1","4.781068088478408","8.540999999999997","-3.606599999999992","1.3919999999999995","0.079","-16.328","0","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","2","4.52301249169179","8.504999999999995","-2.4389333333333325","1.5139999999999993","0.128","-17.64","0","captures/pluto_phase_frequency_sweep_20260727/f2300_ch2"
"2.4","1","2.4634606552571574","4.979000000000013","-1.449333333333336","1.0650000000000013","0.091","-17.372","0","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","2","2.5708967436804357","5.049000000000007","-1.9591333333333312","0.8900000000000006","0.032","-17.984","0","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.5","1","3.3229594540609946","7.112000000000023","-2.1733999999999982","1.3530000000000015","0.071","-19.268","0","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","2","4.158076871182961","7.893000000000029","-3.2651333333333343","1.2369999999999983","0.038","-19.871","0","captures/pluto_phase_frequency_sweep_20260727/f2500_ch2"
"2.7","1","1.9115973076635877","3.2990000000000066","-0.492133333333337","0.9529999999999994","0.081","-18.697","0","captures/pluto_phase_frequency_sweep_20260727/f2700_ch1"
"2.7","2","3.363641796228204","6.132000000000005","-2.08813333333333","1.2019999999999982","0.037","-20.79","0","captures/pluto_phase_frequency_sweep_20260727/f2700_ch2"
"3","1","3.0362870088316742","4.913999999999987","-0.1365333333333363","1.4609999999999985","1.013","-22.22","0","captures/pluto_phase_frequency_sweep_20260727/f3000_ch1"
"3","2","4.060725074827569","8.683999999999997","-2.770933333333338","1.657","0.051","-23.527","0","captures/pluto_phase_frequency_sweep_20260727/f3000_ch2"
"3.3","1","2.6722575724157553","4.528000000000006","-0.35986666666666994","1.341000000000001","0.107","-24.317","0","captures/pluto_phase_frequency_sweep_20260727/f3300_ch1"
"3.3","2","2.015219177492446","3.2009999999999934","-1.7805999999999982","1.2330000000000005","0.12","-27.617","0","captures/pluto_phase_frequency_sweep_20260727/f3300_ch2"
"3.5","1","2.3705619586924986","4.918999999999997","1.7638666666666671","1.9239999999999995","0.205","-28.394","0","captures/pluto_phase_frequency_sweep_20260727/f3500_ch1"
"3.5","2","2.1645267227117677","3.396000000000015","-1.1358000000000057","1.4579999999999984","0.205","-29.923","0","captures/pluto_phase_frequency_sweep_20260727/f3500_ch2"
"3.8","1","3.2491905043153966","6.3940000000000055","-1.5260000000000025","2.3949999999999996","0.058","-30.198","0","captures/pluto_phase_frequency_sweep_20260727/f3800_ch1"
"3.8","2","2.532081897043091","5.096000000000004","-0.3491333333333344","2.442","0.059","-31.106","0","captures/pluto_phase_frequency_sweep_20260727/f3800_ch2"
