"frequency_ghz","channel","commanded_phase_deg","measured_phase_magnitude_deg","phase_error_deg","tone_level_dbfs","amplitude_delta_db","circular_std_deg","sample_count","source_directory"
"2.3","1","0","0.078","0.078","-14.937","0","0.079","4","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","22.5","21.351","-1.149000000000001","-14.936","0.0009999999999994458","0.026","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","45","46.285","1.2849999999999966","-15.073","-0.136000000000001","0.003","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","67.5","67.2","-0.29999999999999716","-15.393","-0.4560000000000013","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","90","89.2","-0.7999999999999972","-15.99","-1.0530000000000008","0.008","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","112.5","110.494","-2.0060000000000002","-15.671","-0.734","0.022","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","135","133.318","-1.681999999999988","-15.326","-0.3890000000000011","0.014","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","157.5","158.573","1.0730000000000075","-14.978","-0.04100000000000037","0.011","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","180","174.752","-5.2479999999999905","-15.304","-0.3670000000000009","0.022","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","202.5","195.925","-6.574999999999989","-15.252","-0.3150000000000013","0.003","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","225","220.537","-4.462999999999994","-15.341","-0.4039999999999999","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","247.5","241.329","-6.170999999999992","-15.678","-0.7410000000000014","0.018","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","270","264.634","-5.3659999999999854","-16.328","-1.391","0.012","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","292.5","284.94100000000003","-7.558999999999969","-15.858","-0.9210000000000012","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","315","306.459","-8.540999999999997","-15.925","-0.9880000000000013","0.032","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","337.5","330.903","-6.59699999999998","-15.224","-0.2870000000000008","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","2","0","-0.127","-0.127","-16.253","0","0.128","4","captures/pluto_phase_frequency_sweep_20260727/f2300_ch2"
"2.3","2","22.5","20.388","-2.1119999999999983","-16.256","-0.0030000000000001137","0.06","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch2"
"2.3","2","45","47.298","2.298000000000002","-16.126","0.1269999999999989","0.004","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch2"
"2.3","2","67.5","69.064","1.563999999999993","-16.268","-0.015000000000000568","0.003","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch2"
"2.3","2","90","94.632","4.632000000000005","-17.324","-1.0710000000000015","0.034","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch2"
"2.3","2","112.5","113.723","1.222999999999999","-17.13","-0.8769999999999989","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch2"
"2.3","2","135","134.634","-0.36600000000001387","-17.458","-1.2049999999999983","0.011","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch2"
"2.3","2","157.5","156.356","-1.1440000000000055","-16.754","-0.5010000000000012","0.012","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch2"
"2.3","2","180","174.163","-5.836999999999989","-16.748","-0.495000000000001","0.032","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch2"
"2.3","2","202.5","193.995","-8.504999999999995","-16.59","-0.33699999999999974","0.018","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch2"
"2.3","2","225","220.51","-4.490000000000009","-16.551","-0.29799999999999827","0.015","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch2"
"2.3","2","247.5","242.485","-5.014999999999986","-16.628","-0.375","0.072","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch2"
"2.3","2","270","269.419","-0.5810000000000173","-17.482","-1.2289999999999992","0.02","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch2"
"2.3","2","292.5","288.422","-4.0779999999999745","-17.342","-1.0889999999999986","0.005","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch2"
"2.3","2","315","308.676","-6.324000000000012","-17.64","-1.3870000000000005","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch2"
"2.3","2","337.5","329.651","-7.8489999999999895","-17.022","-0.7689999999999984","0.008","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch2"
"2.4","1","0","-0.039","-0.039","-16.501","0","0.05","4","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","22.5","19.971","-2.529","-16.532","-0.030999999999998806","0.008","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","45","45.411","0.41100000000000136","-16.311","0.19000000000000128","0.002","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","67.5","65.942","-1.558000000000007","-16.307","0.19400000000000261","0.002","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","90","90.788","0.7879999999999967","-16.512","-0.010999999999999233","0.091","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","112.5","114.113","1.6129999999999995","-16.768","-0.26699999999999946","0.017","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","135","136.764","1.76400000000001","-17.084","-0.5829999999999984","0.001","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","157.5","157.48","-0.020000000000010232","-17.107","-0.6059999999999981","0.009","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","180","177.373","-2.6270000000000095","-16.776","-0.2749999999999986","0.011","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","202.5","197.521","-4.979000000000013","-16.777","-0.2759999999999998","0.013","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","225","222.632","-2.367999999999995","-16.592","-0.09099999999999753","0.004","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","247.5","243.11","-4.389999999999986","-16.59","-0.08899999999999864","0.004","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","270","268.579","-1.4209999999999923","-16.84","-0.33899999999999864","0","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","292.5","291.391","-1.1089999999999804","-17.064","-0.5629999999999988","0.002","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","315","313.28","-1.7200000000000273","-17.372","-0.8709999999999987","0.002","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","337.5","333.905","-3.5950000000000273","-17.288","-0.786999999999999","0.009","2","captures/pluto_phase_full_20260727_ch1_after_swap"
