"frequency_ghz","channel","rms_error_reference_180_deg","max_abs_error_reference_180_deg","mean_error_reference_180_deg","worst_absolute_commanded_phase_deg","worst_relative_commanded_phase_deg","worst_error_reference_180_deg","rms_error_reference_0_deg","rms_change_180_minus_0_deg","reference_180_original_error_deg"
"2.3","1","3.7995167499740403","6.532999999999987","1.996466666666665","45","-135","6.532999999999987","4.781068088478408","-0.9815513385043677","-5.2479999999999905"
"2.3","2","5.313163834602997","10.468999999999994","3.7787333333333217","90","-90","10.468999999999994","4.52301249169179","0.7901513429112068","-5.836999999999989"
"2.4","1","2.408627479153506","4.3910000000000196","1.3502000000000085","135","-45","4.3910000000000196","2.4634606552571574","-0.05483317610365157","-2.6270000000000095"
"2.4","2","1.8841972119004249","3.3100000000000023","0.7616666666666608","135","-45","3.3100000000000023","2.5708967436804357","-0.6866995317800109","-2.5519999999999925"
"2.5","1","2.5849178194544895","5.3110000000000355","-0.2500000000000114","337.5","157.5","-5.3110000000000355","3.3229594540609946","-0.7380416346065051","-1.8009999999999877"
"2.5","2","2.909464612834008","5.881000000000029","-1.1199333333333337","315","135","-5.881000000000029","4.158076871182961","-1.248612258348953","-2.0120000000000005"
"2.7","1","3.1071794390840526","5.257000000000005","-2.57646666666667","157.5","-22.5","-5.257000000000005","1.9115973076635877","1.1955821314204649","1.9579999999999984"
"2.7","2","4.2158375996552175","7.318000000000012","-3.355600000000003","315","135","-7.318000000000012","3.363641796228204","0.8521958034270134","1.186000000000007"
"3","1","5.349071433435902","8.780000000000001","-4.546400000000001","135","-45","-8.780000000000001","3.0362870088316742","2.3127844246042275","4.171999999999997"
"3","2","3.7392585896137245","8.183999999999997","-2.2409333333333383","135","-45","-8.183999999999997","4.060725074827569","-0.32146648521384424","-0.5"
"3.3","1","4.534939036708949","7.760000000000005","-3.800466666666667","112.5","-67.5","-7.760000000000005","2.6722575724157553","1.862681464293194","3.2319999999999993"
"3.3","2","1.2804835024317913","2.258999999999986","-0.7833333333333229","225","45","-2.258999999999986","2.015219177492446","-0.7347356750606548","-0.9420000000000073"
"3.5","1","2.3125356934182286","4.839999999999989","1.691733333333325","90","-90","4.839999999999989","2.3705619586924986","-0.05802626527427002","0.07900000000000773"
"3.5","2","1.860502459014768","3.6030000000000086","-0.0992666666666679","337.5","157.5","3.6030000000000086","2.1645267227117677","-0.30402426369699964","-0.9830000000000041"
"3.8","1","3.9443664890575185","8.323999999999984","2.7667333333333213","22.5","-157.5","8.323999999999984","3.2491905043153966","0.6951759847421219","-4.021999999999991"
"3.8","2","2.896698327406566","5.591000000000008","1.4949333333333281","22.5","-157.5","5.591000000000008","2.532081897043091","0.3646164303634749","-1.7309999999999945"
