"frequency_ghz","channel","absolute_commanded_phase_deg","relative_commanded_from_180_deg","measured_relative_from_180_deg","phase_error_from_180_deg","original_phase_error_from_0_deg","reference_180_measured_magnitude_deg","reference_180_original_error_deg","tone_level_dbfs","amplitude_delta_from_0_db","circular_std_deg","sample_count","source_directory"
"2.3","1","0","-180","-174.674","5.325999999999993","0.078","174.752","-5.2479999999999905","-14.937","0","0.079","4","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","22.5","-157.5","-153.401","4.0989999999999895","-1.149000000000001","174.752","-5.2479999999999905","-14.936","0.0009999999999994458","0.026","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","45","-135","-128.467","6.532999999999987","1.2849999999999966","174.752","-5.2479999999999905","-15.073","-0.136000000000001","0.003","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","67.5","-112.5","-107.552","4.947999999999993","-0.29999999999999716","174.752","-5.2479999999999905","-15.393","-0.4560000000000013","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","90","-90","-85.552","4.447999999999993","-0.7999999999999972","174.752","-5.2479999999999905","-15.99","-1.0530000000000008","0.008","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","112.5","-67.5","-64.25800000000001","3.2419999999999902","-2.0060000000000002","174.752","-5.2479999999999905","-15.671","-0.734","0.022","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","135","-45","-41.434","3.5660000000000025","-1.681999999999988","174.752","-5.2479999999999905","-15.326","-0.3890000000000011","0.014","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","157.5","-22.5","-16.179000000000002","6.320999999999998","1.0730000000000075","174.752","-5.2479999999999905","-14.978","-0.04100000000000037","0.011","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","180","0","0","0","-5.2479999999999905","174.752","-5.2479999999999905","-15.304","-0.3670000000000009","0.022","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","202.5","22.5","21.173000000000002","-1.3269999999999982","-6.574999999999989","174.752","-5.2479999999999905","-15.252","-0.3150000000000013","0.003","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","225","45","45.785","0.7849999999999966","-4.462999999999994","174.752","-5.2479999999999905","-15.341","-0.4039999999999999","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","247.5","67.5","66.577","-0.9230000000000018","-6.170999999999992","174.752","-5.2479999999999905","-15.678","-0.7410000000000014","0.018","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","270","90","89.882","-0.117999999999995","-5.3659999999999854","174.752","-5.2479999999999905","-16.328","-1.391","0.012","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","292.5","112.5","110.18900000000002","-2.3109999999999786","-7.558999999999969","174.752","-5.2479999999999905","-15.858","-0.9210000000000012","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","315","135","131.707","-3.2930000000000064","-8.540999999999997","174.752","-5.2479999999999905","-15.925","-0.9880000000000013","0.032","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
"2.3","1","337.5","157.5","156.151","-1.3489999999999895","-6.59699999999998","174.752","-5.2479999999999905","-15.224","-0.2870000000000008","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2300_ch1"
