"frequency_ghz","swept_channel","swept_commanded_phase_deg","directly_measured_error_deg","predicted_from_previous_sweep_deg","direct_minus_predicted_deg"
"2.3","1","0","-6.041","-5.325999999999993","-0.715000000000007"
"2.3","1","22.5","-5.042","-4.0989999999999895","-0.9430000000000103"
"2.3","1","45","-7.329","-6.532999999999987","-0.7960000000000127"
"2.3","1","67.5","-5.461","-4.947999999999993","-0.513000000000007"
"2.3","1","90","-5.094","-4.447999999999993","-0.646000000000007"
"2.3","1","112.5","-3.812","-3.2419999999999902","-0.5700000000000096"
"2.3","1","135","-4.235","-3.5660000000000025","-0.6689999999999978"
"2.3","1","157.5","-6.899","-6.320999999999998","-0.5780000000000021"
"2.3","1","180","-0.513","0","-0.513"
"2.3","1","202.5","1.058","1.3269999999999982","-0.26899999999999813"
"2.3","1","225","-1.201","-0.7849999999999966","-0.4160000000000035"
"2.3","1","247.5","0.121","0.9230000000000018","-0.8020000000000018"
"2.3","1","270","-0.431","0.117999999999995","-0.548999999999995"
"2.3","1","292.5","1.705","2.3109999999999786","-0.6059999999999786"
"2.3","1","315","2.506","3.2930000000000064","-0.7870000000000066"
"2.3","1","337.5","0.512","1.3489999999999895","-0.8369999999999895"
"2.3","2","0","-5.3","-5.7099999999999795","0.4099999999999797"
"2.3","2","22.5","-3.351","-3.7249999999999943","0.37399999999999434"
"2.3","2","45","-7.712","-8.134999999999991","0.42299999999999116"
"2.3","2","67.5","-6.897","-7.400999999999982","0.5039999999999818"
"2.3","2","90","-10.026","-10.468999999999994","0.4429999999999943"
"2.3","2","112.5","-6.682","-7.059999999999988","0.3779999999999877"
"2.3","2","135","-5.118","-5.470999999999975","0.3529999999999749"
"2.3","2","157.5","-4.4","-4.692999999999984","0.2929999999999833"
"2.3","2","180","0.295","0","0.295"
"2.3","2","202.5","2.778","2.6680000000000064","0.10999999999999366"
"2.3","2","225","-1.32","-1.34699999999998","0.02699999999997993"
"2.3","2","247.5","-0.77","-0.8220000000000027","0.05200000000000271"
"2.3","2","270","-4.995","-5.255999999999972","0.2609999999999717"
"2.3","2","292.5","-1.41","-1.7590000000000146","0.34900000000001463"
"2.3","2","315","0.787","0.4870000000000232","0.29999999999997684"
"2.3","2","337.5","2.319","2.0120000000000005","0.3069999999999995"
"2.4","1","0","-2.379","-2.5880000000000223","0.20900000000002228"
"2.4","1","22.5","-0.005","-0.09800000000001319","0.09300000000001318"
"2.4","1","45","-3.018","-3.038000000000011","0.02000000000001112"
"2.4","1","67.5","-1.014","-1.0690000000000026","0.0550000000000026"
"2.4","1","90","-3.509","-3.4150000000000063","-0.09399999999999364"
"2.4","1","112.5","-4.373","-4.240000000000009","-0.13299999999999113"
"2.4","1","135","-4.459","-4.3910000000000196","-0.06799999999998008"
"2.4","1","157.5","-2.641","-2.6069999999999993","-0.034000000000000696"
"2.4","1","180","-0.18","0","-0.18"
"2.4","1","202.5","2.488","2.352000000000004","0.13599999999999612"
"2.4","1","225","-0.137","-0.25900000000001455","0.12200000000001454"
"2.4","1","247.5","1.806","1.7629999999999768","0.04300000000002324"
"2.4","1","270","-1.067","-1.2060000000000173","0.13900000000001733"
"2.4","1","292.5","-1.313","-1.518000000000029","0.20500000000002916"
"2.4","1","315","-0.667","-0.9069999999999823","0.23999999999998223"
"2.4","1","337.5","1.204","0.9680000000000177","0.23599999999998222"
"2.4","2","0","-2.409","-2.5319999999999823","0.12299999999998246"
"2.4","2","22.5","0.065","-0.21199999999998909","0.2769999999999891"
"2.4","2","45","-2.341","-2.591000000000008","0.250000000000008"
"2.4","2","67.5","-0.288","-0.36999999999999034","0.08199999999999036"
"2.4","2","90","-1.768","-1.975999999999999","0.20799999999999907"
"2.4","2","112.5","-2.72","-2.8739999999999952","0.15399999999999503"
"2.4","2","135","-3.158","-3.3100000000000023","0.15200000000000236"
"2.4","2","157.5","-2.118","-2.25","0.13200000000000012"
"2.4","2","180","0.255","0","0.255"
"2.4","2","202.5","2.499","2.497000000000014","0.001999999999986013"
"2.4","2","225","0.336","0.16200000000000614","0.17399999999999388"
"2.4","2","247.5","2.424","1.9770000000000039","0.44699999999999607"
"2.4","2","270","0.141","-0.27899999999996794","0.41999999999996795"
"2.4","2","292.5","-0.175","-0.5890000000000271","0.41400000000002707"
"2.4","2","315","0.163","-0.1489999999999725","0.3119999999999725"
"2.4","2","337.5","1.347","1.070999999999998","0.276000000000002"
"2.5","1","0","-1.804","-1.8359999999999843","0.03199999999998426"
"2.5","1","22.5","0.129","0.02600000000001046","0.10299999999998954"
"2.5","1","45","-3.334","-3.542999999999978","0.20899999999997787"
"2.5","1","67.5","-1.808","-2.0419999999999874","0.23399999999998733"
"2.5","1","90","-2.797","-3.0439999999999827","0.24699999999998257"
"2.5","1","112.5","0.324","0.060000000000016485","0.2639999999999835"
"2.5","1","135","2.374","2.1510000000000105","0.22299999999998965"
"2.5","1","157.5","3.349","3.102000000000004","0.24699999999999633"
"2.5","1","180","0.163","0","0.163"
"2.5","1","202.5","2.114","2.0080000000000098","0.1059999999999901"
"2.5","1","225","-1.358","-1.4399999999999977","0.08199999999999763"
"2.5","1","247.5","-0.107","-0.16100000000000136","0.054000000000001366"
"2.5","1","270","-2.074","-2.1440000000000055","0.07000000000000561"
"2.5","1","292.5","1.414","1.3050000000000068","0.1089999999999931"
"2.5","1","315","4.071","3.997000000000014","0.07399999999998563"
"2.5","1","337.5","5.299","5.3110000000000355","-0.012000000000035094"
"2.5","2","0","-1.964","-1.9979999999999905","0.03399999999999048"
"2.5","2","22.5","-0.168","-0.3329999999999984","0.1649999999999984"
"2.5","2","45","-2.773","-3.021000000000015","0.24800000000001488"
"2.5","2","67.5","-1.293","-1.581000000000003","0.28800000000000314"
"2.5","2","90","-1.18","-1.4869999999999948","0.30699999999999483"
"2.5","2","112.5","1.895","1.6269999999999953","0.2680000000000047"
"2.5","2","135","3.609","3.4329999999999927","0.17600000000000726"
"2.5","2","157.5","3.201","3.062999999999988","0.1380000000000119"
"2.5","2","180","-0.011","0","-0.011"
"2.5","2","202.5","1.826","1.8760000000000048","-0.05000000000000471"
"2.5","2","225","-0.687","-0.5699999999999932","-0.11700000000000688"
"2.5","2","247.5","0.637","0.771000000000015","-0.134000000000015"
"2.5","2","270","-0.287","-0.1560000000000059","-0.13099999999999407"
"2.5","2","292.5","3.319","3.4259999999999877","-0.10699999999998777"
"2.5","2","315","5.836","5.881000000000029","-0.04500000000002835"
"2.5","2","337.5","5.882","5.867999999999995","0.014000000000004675"
"2.7","1","0","1.717","1.8950000000000102","-0.17800000000001015"
"2.7","1","22.5","3.338","3.5989999999999895","-0.26099999999998946"
"2.7","1","45","1.294","1.5620000000000118","-0.2680000000000118"
"2.7","1","67.5","2.718","3.0130000000000052","-0.29500000000000526"
"2.7","1","90","2.215","2.6509999999999962","-0.4359999999999964"
"2.7","1","112.5","2.815","2.9129999999999967","-0.09799999999999676"
"2.7","1","135","4.489","4.7309999999999945","-0.24199999999999466"
"2.7","1","157.5","5.444","5.257000000000005","0.18699999999999495"
"2.7","1","180","0.241","0","0.241"
"2.7","1","202.5","1.855","1.3880000000000052","0.46699999999999475"
"2.7","1","225","-0.093","-0.6409999999999911","0.5479999999999912"
"2.7","1","247.5","1.317","0.8830000000000098","0.43399999999999017"
"2.7","1","270","0.562","0.18199999999998795","0.3800000000000121"
"2.7","1","292.5","2.087","1.7779999999999916","0.3090000000000086"
"2.7","1","315","4.472","4.274000000000029","0.1979999999999711"
"2.7","1","337.5","5.27","5.162000000000006","0.10799999999999343"
"2.7","2","0","2.384","1.2220000000000084","1.1619999999999915"
"2.7","2","22.5","3.531","2.608000000000004","0.922999999999996"
"2.7","2","45","1.288","0.7309999999999945","0.5570000000000055"
"2.7","2","67.5","2.454","2.213000000000008","0.2409999999999921"
"2.7","2","90","3.124","3.2040000000000077","-0.08000000000000762"
"2.7","2","112.5","5.071","5.375","-0.30400000000000027"
"2.7","2","135","6.668","7.072000000000003","-0.4040000000000026"
"2.7","2","157.5","5.869","6.188999999999993","-0.3199999999999932"
"2.7","2","180","-0.033","0","-0.033"
"2.7","2","202.5","1.443","1.1920000000000073","0.2509999999999928"
"2.7","2","225","0.082","-0.5619999999999834","0.6439999999999834"
"2.7","2","247.5","1.834","0.8850000000000193","0.9489999999999807"
"2.7","2","270","2.857","1.5209999999999866","1.3360000000000136"
"2.7","2","292.5","6.191","4.582999999999998","1.6080000000000014"
"2.7","2","315","9","7.318000000000012","1.681999999999988"
"2.7","2","337.5","8.331","6.782999999999987","1.5480000000000125"
"3","1","0","2.454","3.5679999999999836","-1.1139999999999834"
"3","1","22.5","2.476","4.6510000000000105","-2.1750000000000105"
"3","1","45","1.547","3.9610000000000127","-2.414000000000013"
"3","1","67.5","2.701","5.653999999999996","-2.9529999999999963"
"3","1","90","4.15","6.2819999999999965","-2.131999999999996"
"3","1","112.5","5.878","7.570999999999998","-1.6929999999999978"
"3","1","135","7.637","8.780000000000001","-1.1430000000000016"
"3","1","157.5","7.638","8.015999999999991","-0.37799999999999123"
"3","1","180","0.535","0","0.535"
"3","1","202.5","0.905","-0.1419999999999959","1.046999999999996"
"3","1","225","0.526","-0.7419999999999902","1.2679999999999902"
"3","1","247.5","2.007","0.7750000000000057","1.2319999999999944"
"3","1","270","3.583","2.6109999999999616","0.9720000000000386"
"3","1","292.5","5.479","5.03600000000003","0.4429999999999703"
"3","1","315","6.998","6.974999999999994","0.023000000000005905"
"3","1","337.5","5.508","5.200000000000017","0.30799999999998295"
"3","2","0","3.216","-0.44999999999998863","3.665999999999989"
"3","2","22.5","3.452","0.29599999999999227","3.1560000000000077"
"3","2","45","2.336","-0.20300000000000296","2.539000000000003"
"3","2","67.5","3.402","1.7650000000000006","1.6369999999999996"
"3","2","90","4.61","3.7960000000000065","0.8139999999999938"
"3","2","112.5","5.916","6.009","-0.09299999999999997"
"3","2","135","7.53","8.183999999999997","-0.6539999999999973"
"3","2","157.5","7.038","7.89500000000001","-0.85700000000001"
"3","2","180","-0.105","0","-0.105"
"3","2","202.5","0.337","-0.27299999999999613","0.6099999999999961"
"3","2","225","-0.005","-1.4869999999999948","1.4819999999999949"
"3","2","247.5","1.824","-0.5699999999999932","2.393999999999993"
"3","2","270","3.726","0.5620000000000118","3.163999999999988"
"3","2","292.5","5.822","2.1639999999999873","3.658000000000013"
"3","2","315","7.79","3.7660000000000196","4.0239999999999805"
"3","2","337.5","6.273","2.160000000000025","4.112999999999975"
"3.3","1","0","0.006","3.1289999999999907","-3.122999999999991"
"3.3","1","22.5","-1.156","2.0509999999999877","-3.2069999999999874"
"3.3","1","45","-0.647","2.526999999999987","-3.173999999999987"
"3.3","1","67.5","-0.21","2.9140000000000015","-3.1240000000000014"
"3.3","1","90","2.548","5.456999999999994","-2.9089999999999936"
"3.3","1","112.5","4.984","7.760000000000005","-2.776000000000005"
"3.3","1","135","4.383","6.966000000000008","-2.583000000000008"
"3.3","1","157.5","3.742","6.109999999999985","-2.3679999999999852"
"3.3","1","180","-1.984","0","-1.984"
"3.3","1","202.5","-2.597","-0.7949999999999875","-1.8020000000000125"
"3.3","1","225","-1.632","0.16499999999999204","-1.796999999999992"
"3.3","1","247.5","-0.99","0.8739999999999952","-1.8639999999999952"
"3.3","1","270","1.86","3.8710000000000093","-2.011000000000009"
"3.3","1","292.5","4.088","6.289000000000016","-2.2010000000000156"
"3.3","1","315","3.018","5.500000000000028","-2.4820000000000286"
"3.3","1","337.5","1.428","4.188999999999993","-2.760999999999993"
"3.3","2","0","2.512","-0.8290000000000077","3.3410000000000077"
"3.3","2","22.5","2.651","-0.5200000000000102","3.17100000000001"
"3.3","2","45","4.599","1.6219999999999857","2.9770000000000145"
"3.3","2","67.5","3.703","1.0069999999999908","2.696000000000009"
"3.3","2","90","4.33","1.98899999999999","2.34100000000001"
"3.3","2","112.5","3.394","1.3829999999999956","2.0110000000000046"
"3.3","2","135","3.295","1.4419999999999789","1.853000000000021"
"3.3","2","157.5","3.247","1.5439999999999827","1.7030000000000172"
"3.3","2","180","1.842","0","1.842"
"3.3","2","202.5","1.968","0.04399999999998272","1.9240000000000173"
"3.3","2","225","4.327","2.258999999999986","2.068000000000014"
"3.3","2","247.5","3.489","1.1829999999999927","2.306000000000007"
"3.3","2","270","4.15","1.5260000000000105","2.62399999999999"
"3.3","2","292.5","3.071","0.132000000000005","2.938999999999995"
"3.3","2","315","3.063","-0.14400000000000546","3.2070000000000056"
"3.3","2","337.5","2.533","-0.8880000000000337","3.4210000000000336"
"3.5","1","0","-2.158","-0.10299999999998022","-2.0550000000000197"
"3.5","1","22.5","-4.76","-2.7930000000000064","-1.9669999999999934"
"3.5","1","45","-3.954","-1.978999999999985","-1.9750000000000152"
"3.5","1","67.5","-5.4","-3.465999999999994","-1.9340000000000064"
"3.5","1","90","-6.697","-4.839999999999989","-1.8570000000000109"
"3.5","1","112.5","-4.556","-2.762999999999991","-1.793000000000009"
"3.5","1","135","-2.526","-0.7779999999999916","-1.7480000000000082"
"3.5","1","157.5","-1.116","0.5730000000000075","-1.6890000000000076"
"3.5","1","180","-1.813","0","-1.813"
"3.5","1","202.5","-3.851","-2.1529999999999916","-1.6980000000000084"
"3.5","1","225","-2.568","-0.8799999999999955","-1.6880000000000046"
"3.5","1","247.5","-3.843","-2.180000000000007","-1.6629999999999932"
"3.5","1","270","-5.11","-3.3430000000000177","-1.7669999999999826"
"3.5","1","292.5","-3.407","-1.5699999999999932","-1.8370000000000068"
"3.5","1","315","-1.8","0.07800000000003138","-1.8780000000000314"
"3.5","1","337.5","-1.098","0.8210000000000264","-1.9190000000000265"
"3.5","2","0","-0.265","-0.8029999999999973","0.5379999999999973"
"3.5","2","22.5","-0.484","-0.5900000000000034","0.10600000000000342"
"3.5","2","45","1.438","1.5689999999999884","-0.13099999999998846"
"3.5","2","67.5","1.086","1.1319999999999908","-0.045999999999990715"
"3.5","2","90","2.579","2.405000000000001","0.17399999999999904"
"3.5","2","112.5","2.084","1.438999999999993","0.6450000000000071"
"3.5","2","135","-0.112","-1.4209999999999923","1.3089999999999922"
"3.5","2","157.5","-1.062","-3.0759999999999934","2.013999999999993"
"3.5","2","180","2.29","0","2.29"
"3.5","2","202.5","2.351","-0.2880000000000109","2.639000000000011"
"3.5","2","225","4.691","1.7870000000000061","2.9039999999999937"
"3.5","2","247.5","4.002","1.1879999999999882","2.8140000000000116"
