"frequency_ghz","swept_channel","reference_channel","reference_phase_deg","swept_commanded_phase_deg","expected_relative_phase_deg","measured_relative_phase_deg","signed_phase_error_deg","repeat_circular_std_deg","sample_count","ch1_tone_mean_dbfs","ch2_tone_mean_dbfs","source_directory"
"2.3","1","2","180","0","-180","173.959","-6.041","0.024","4","-14.72","-16.23","C:/Users/iroen/OneDrive/Documents/Projects/PLUTO_Phaser/PLUTO_SDR_Beam_former/captures/pluto_phase_reference180_20260728/f2300_sweep_ch1_reference_ch2_180deg"
"2.3","1","2","180","22.5","157.5","152.458","-5.042","0.004","2","-14.777","-16.23","C:/Users/iroen/OneDrive/Documents/Projects/PLUTO_Phaser/PLUTO_SDR_Beam_former/captures/pluto_phase_reference180_20260728/f2300_sweep_ch1_reference_ch2_180deg"
"2.3","1","2","180","45","135","127.671","-7.329","0.003","2","-14.854","-16.214","C:/Users/iroen/OneDrive/Documents/Projects/PLUTO_Phaser/PLUTO_SDR_Beam_former/captures/pluto_phase_reference180_20260728/f2300_sweep_ch1_reference_ch2_180deg"
"2.3","1","2","180","67.5","112.5","107.039","-5.461","0.001","2","-15.1","-16.244","C:/Users/iroen/OneDrive/Documents/Projects/PLUTO_Phaser/PLUTO_SDR_Beam_former/captures/pluto_phase_reference180_20260728/f2300_sweep_ch1_reference_ch2_180deg"
"2.3","1","2","180","90","90","84.906","-5.094","0.001","2","-15.699","-16.254","C:/Users/iroen/OneDrive/Documents/Projects/PLUTO_Phaser/PLUTO_SDR_Beam_former/captures/pluto_phase_reference180_20260728/f2300_sweep_ch1_reference_ch2_180deg"
"2.3","1","2","180","112.5","67.5","63.688","-3.812","0","2","-15.156","-16.262","C:/Users/iroen/OneDrive/Documents/Projects/PLUTO_Phaser/PLUTO_SDR_Beam_former/captures/pluto_phase_reference180_20260728/f2300_sweep_ch1_reference_ch2_180deg"
"2.3","1","2","180","135","45","40.765","-4.235","0.001","2","-15.04","-16.279","C:/Users/iroen/OneDrive/Documents/Projects/PLUTO_Phaser/PLUTO_SDR_Beam_former/captures/pluto_phase_reference180_20260728/f2300_sweep_ch1_reference_ch2_180deg"
"2.3","1","2","180","157.5","22.5","15.601","-6.899","0.005","2","-14.64","-16.253","C:/Users/iroen/OneDrive/Documents/Projects/PLUTO_Phaser/PLUTO_SDR_Beam_former/captures/pluto_phase_reference180_20260728/f2300_sweep_ch1_reference_ch2_180deg"
"2.3","1","2","180","180","0","-0.513","-0.513","0.006","2","-14.894","-16.255","C:/Users/iroen/OneDrive/Documents/Projects/PLUTO_Phaser/PLUTO_SDR_Beam_former/captures/pluto_phase_reference180_20260728/f2300_sweep_ch1_reference_ch2_180deg"
"2.3","1","2","180","202.5","-22.5","-21.442","1.058","0.007","2","-14.93","-16.238","C:/Users/iroen/OneDrive/Documents/Projects/PLUTO_Phaser/PLUTO_SDR_Beam_former/captures/pluto_phase_reference180_20260728/f2300_sweep_ch1_reference_ch2_180deg"
"2.3","1","2","180","225","-45","-46.201","-1.201","0.002","2","-15.058","-16.206","C:/Users/iroen/OneDrive/Documents/Projects/PLUTO_Phaser/PLUTO_SDR_Beam_former/captures/pluto_phase_reference180_20260728/f2300_sweep_ch1_reference_ch2_180deg"
"2.3","1","2","180","247.5","-67.5","-67.379","0.121","0.001","2","-15.308","-16.226","C:/Users/iroen/OneDrive/Documents/Projects/PLUTO_Phaser/PLUTO_SDR_Beam_former/captures/pluto_phase_reference180_20260728/f2300_sweep_ch1_reference_ch2_180deg"
"2.3","1","2","180","270","-90","-90.431","-0.431","0.004","2","-16.002","-16.228","C:/Users/iroen/OneDrive/Documents/Projects/PLUTO_Phaser/PLUTO_SDR_Beam_former/captures/pluto_phase_reference180_20260728/f2300_sweep_ch1_reference_ch2_180deg"
"2.3","1","2","180","292.5","-112.5","-110.795","1.705","0.002","2","-15.539","-16.233","C:/Users/iroen/OneDrive/Documents/Projects/PLUTO_Phaser/PLUTO_SDR_Beam_former/captures/pluto_phase_reference180_20260728/f2300_sweep_ch1_reference_ch2_180deg"
"2.3","1","2","180","315","-135","-132.494","2.506","0.001","2","-15.508","-16.258","C:/Users/iroen/OneDrive/Documents/Projects/PLUTO_Phaser/PLUTO_SDR_Beam_former/captures/pluto_phase_reference180_20260728/f2300_sweep_ch1_reference_ch2_180deg"
"2.3","1","2","180","337.5","-157.5","-156.988","0.512","0.004","2","-14.972","-16.244","C:/Users/iroen/OneDrive/Documents/Projects/PLUTO_Phaser/PLUTO_SDR_Beam_former/captures/pluto_phase_reference180_20260728/f2300_sweep_ch1_reference_ch2_180deg"
