"frequency_ghz","swept_channel","reference_channel","rms_phase_error_deg","max_abs_phase_error_deg","worst_commanded_phase_deg","worst_signed_phase_error_deg","maximum_repeat_std_deg","minimum_ch1_tone_dbfs","minimum_ch2_tone_dbfs"
"2.3","1","2","4.192653773765092","7.329","45","-7.329","0.024","-16.002","-16.279"
"2.3","2","1","5.033715109141557","10.026","90","-10.026","0.033","-14.968","-17.348"
"2.4","1","2","2.426485387001812","4.459","135","-4.459","0.024","-17.096","-17.216"
"2.4","2","1","1.8344663165800201","3.158","135","-3.158","0.018","-16.536","-17.686"
"2.5","1","2","2.5782844684014212","5.299","337.5","5.299","0.03","-18.816","-18.603"
"2.5","2","1","2.8921568537454303","5.882","337.5","5.882","0.021","-17.826","-19.476"
"2.7","1","2","3.091906208150564","5.444","157.5","5.444","0.037","-18.505","-19.578"
"2.7","2","1","4.778865269775521","9","315","9","0.023","-17.684","-20.54"
"3","1","2","4.601221917418604","7.638","157.5","7.638","0.022","-21.47","-21.877"
"3","2","1","4.851315416118258","7.79","315","7.79","0.026","-20.334","-23.017"
"3.3","1","2","2.683923483757811","4.984","112.5","4.984","0.044","-24.339","-26.657"
"3.3","2","1","3.435984070587833","4.599","45","4.599","0.029","-23.06","-27.625"
"3.5","1","2","3.8617835603081985","6.697","90","-6.697","0.048","-28.328","-28.524"
"3.5","2","1","2.594382713993189","4.912","270","4.912","0.06","-26.496","-29.656"
"3.8","1","2","3.181691751254354","7.063","22.5","-7.063","0.051","-30.13","-28.786"
"3.8","2","1","3.92866546467542","7.566","22.5","-7.566","0.057","-27.813","-30.949"
