"timestamp","step","label","attenuation_db","lna2"
"2026-07-26T22:08:51.9987918+09:00","1","CONTRAST 1 LOW RF","31.5","ON"
"2026-07-26T22:09:02.2836398+09:00","2","CONTRAST 1 HIGH RF","0","ON"
"2026-07-26T22:09:12.5705565+09:00","3","CONTRAST 2 LOW RF","31.5","ON"
"2026-07-26T22:09:22.8597139+09:00","4","CONTRAST 2 HIGH RF","0","ON"
"2026-07-26T22:09:33.1288291+09:00","5","STAIRCASE","31.5","ON"
"2026-07-26T22:09:43.4218546+09:00","6","STAIRCASE","24","ON"
"2026-07-26T22:09:53.6685728+09:00","7","STAIRCASE","16","ON"
"2026-07-26T22:10:03.9458342+09:00","8","STAIRCASE","8","ON"
"2026-07-26T22:10:14.2417567+09:00","9","STAIRCASE","0","ON"
"2026-07-26T22:10:24.5381555+09:00","10","STAIRCASE","8","ON"
"2026-07-26T22:10:34.8314759+09:00","11","STAIRCASE","16","ON"
"2026-07-26T22:10:45.1063882+09:00","12","STAIRCASE","24","ON"
"2026-07-26T22:10:55.3777097+09:00","13","STAIRCASE","31.5","ON"
